gene_id,variance,mean_expr,n_samples
FBgn0014018,0.49861378046251037,7.570450321876063,41
FBgn0039475,0.49633251504703635,4.9899490409872636,41
FBgn0034289,0.4962218636238994,7.156417817985453,41
FBgn0035445,0.49616515287158985,2.58818410855658,41
FBgn0025680,0.48970006540152333,6.9485136499204225,41
FBgn0031490,0.48585095608364914,3.5060907703222806,41
FBgn0037697,0.4857094071379112,4.727579418102854,41
FBgn0052751,0.48547530919791376,1.6590569356044238,41
FBgn0083936,0.48539323980088733,9.059530169915714,41
FBgn0032669,0.4820197999343665,7.182557663474716,41
FBgn0035978,0.48097140823627854,8.976464788916811,41
FBgn0031373,0.48068251156031055,4.083669385536497,41
FBgn0035412,0.47871297519728245,1.22968392074986,41
FBgn0053511,0.4779785987896609,3.1483404525489322,41
FBgn0261504,0.4774585909929108,5.025238377000589,41
FBgn0000003,0.47640202596646636,5.024664308685666,41
FBgn0035666,0.4761319438260971,5.870405464942681,41
FBgn0040001,0.47599578919766533,7.915461136215825,41
FBgn0259896,0.4738727312098933,3.479331176476474,41
FBgn0043783,0.4734339816975611,9.235756415359738,41
FBgn0050160,0.47308220881953283,6.5470110421100625,41
FBgn0042086,0.4730754174945866,6.547233520646747,41
FBgn0043576,0.4729098086690763,2.737557126782261,41
FBgn0035189,0.47278481011780293,7.103082195989608,41
FBgn0051463,0.47253866864603034,2.6029352435066335,41
FBgn0039613,0.47142221006290885,3.0853258630446057,41
FBgn0039611,0.4707377544542585,5.315543517506515,41
FBgn0001089,0.4697359161120085,4.298572856094162,41
FBgn0260746,0.4695773244133893,5.5667917797381685,41
FBgn0263336,0.4679526285452673,5.0287867664472925,41
FBgn0038865,0.4664027808644156,5.76084615635209,41
FBgn0033366,0.4600561027676274,5.383106040549896,41
FBgn0029932,0.457895058678025,6.684281346948712,41
FBgn0085227,0.45728966756144385,3.7921981549815573,41
FBgn0033593,0.45685477594183804,5.82891112363901,41
FBgn0033327,0.4562496938026901,2.884451927077116,41
FBgn0000052,0.4545261113833553,6.681339260965761,41
FBgn0033439,0.45423109272522516,3.6096881243203245,41
FBgn0040582,0.4541360243036115,7.86035962723358,41
FBgn0261930,0.45355288336082145,3.224049206822568,41
FBgn0033936,0.4532302712957955,4.302478508388663,41
FBgn0041105,0.4509465790051004,1.9289228329493038,41
FBgn0038214,0.45091153217003155,2.48069714518577,41
FBgn0031560,0.45036370096009276,7.01111951630244,41
FBgn0038717,0.4498850091950417,3.9133133157593694,41
FBgn0014031,0.44974551405376173,6.721455685106031,41
FBgn0035667,0.44971684768693276,5.1157316134705075,41
FBgn0032839,0.44661244586746945,3.814955759486475,41
FBgn0013276,0.44608093250084274,5.601408880511016,41
FBgn0013275,0.44548900318474144,5.6023506847529685,41
FBgn0039073,0.4454583733987543,3.218955440004678,41
FBgn0053542,0.4437974455591635,1.441583085478217,41
